Head_Status,Head_X,Head_Y,Head_Z,ShoulderCenter_Status,ShoulderCenter_X,ShoulderCenter_Y,ShoulderCenter_Z,ShoulderLeft_Status,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_Status,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_Status,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_Status,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_Status,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_Status,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_Status,WristRight_X,WristRight_Y,WristRight_Z,HandRight_Status,HandRight_X,HandRight_Y,HandRight_Z,Time
Tracked,0.3171483,0.2956718,1.401851, Tracked,0.3505038,0.1079963,1.491718, Tracked,0.1711167,0.03700981,1.539857, Tracked,0.09669412,-0.1608999,1.522788, Tracked,0.04967232,-0.3121766,1.405657, Inferred,0.04278423,-0.343402,1.35184, Tracked,0.5172703,0.01837559,1.466045, Tracked,0.5640202,-0.1964415,1.430183, Tracked,0.4549767,-0.3151131,1.217733, Inferred,0.4186288,-0.3546703,1.150625, 00:00:01.005
Tracked,0.3171504,0.2957129,1.401888, Tracked,0.3504959,0.1080271,1.491744, Tracked,0.1711176,0.03701882,1.539865, Tracked,0.09936935,-0.1626474,1.521502, Tracked,0.04656892,-0.3126935,1.405349, Inferred,0.03973612,-0.3440121,1.351582, Tracked,0.5172234,0.01838497,1.466057, Tracked,0.5640666,-0.1963787,1.430305, Tracked,0.4550167,-0.3151301,1.217906, Inferred,0.4186668,-0.3547139,1.150815, 00:00:01.041
Tracked,0.3171664,0.2959409,1.402019, Tracked,0.3505057,0.1080763,1.491764, Tracked,0.1711085,0.03706607,1.539908, Tracked,0.1013888,-0.1638928,1.520418, Tracked,0.04395311,-0.3128857,1.405204, Inferred,0.03717253,-0.3445352,1.351626, Tracked,0.5172217,0.01839188,1.466076, Tracked,0.564005,-0.196447,1.430242, Tracked,0.4549552,-0.3150758,1.217772, Inferred,0.4186052,-0.3546187,1.150657, 00:00:01.073
Tracked,0.3172031,0.2959779,1.402047, Tracked,0.3505315,0.1080935,1.491779, Tracked,0.1711028,0.0371113,1.539932, Tracked,0.09739985,-0.1590006,1.523375, Tracked,0.04981851,-0.310716,1.407128, Inferred,0.04313116,-0.3424123,1.353569, Tracked,0.5172178,0.01838851,1.466076, Tracked,0.564009,-0.1964518,1.430236, Tracked,0.4549289,-0.3150294,1.217753, Inferred,0.4185689,-0.3545552,1.150634, 00:00:01.105
Tracked,0.3172154,0.2960127,1.402051, Tracked,0.3505735,0.108107,1.491778, Tracked,0.1711154,0.03716573,1.539952, Tracked,0.0958669,-0.156637,1.524579, Tracked,0.05208465,-0.3094835,1.408321, Inferred,0.04542172,-0.3411473,1.354743, Tracked,0.5171978,0.01843078,1.466095, Tracked,0.5640344,-0.1964315,1.430228, Tracked,0.4549076,-0.314994,1.217763, Inferred,0.418532,-0.3545149,1.15065, 00:00:01.141
Tracked,0.3172351,0.2960831,1.402063, Tracked,0.3505814,0.1081134,1.491782, Tracked,0.1711411,0.03723062,1.539984, Tracked,0.1004317,-0.1598817,1.522239, Tracked,0.04696627,-0.3107135,1.407563, Inferred,0.04035866,-0.3424568,1.354028, Tracked,0.5171849,0.01844005,1.466107, Tracked,0.5640141,-0.1965342,1.430202, Tracked,0.4548699,-0.3149625,1.217669, Inferred,0.4184885,-0.3544387,1.150534, 00:00:01.174
Tracked,0.3171601,0.2960602,1.401935, Tracked,0.3505868,0.1081156,1.491787, Tracked,0.1711376,0.03728174,1.540041, Tracked,0.09953138,-0.1598894,1.522704, Tracked,0.0477841,-0.3107046,1.407137, Inferred,0.04114052,-0.3424074,1.353585, Tracked,0.5171704,0.01845063,1.46612, Tracked,0.5640134,-0.1965322,1.430199, Tracked,0.4548625,-0.3149476,1.217663, Inferred,0.4184788,-0.3544194,1.150527, 00:00:01.204
Tracked,0.3169344,0.2960071,1.401566, Tracked,0.3506329,0.1080803,1.491839, Tracked,0.1711293,0.03734235,1.540091, Tracked,0.09884866,-0.1601472,1.522923, Tracked,0.04812362,-0.3107822,1.406599, Inferred,0.04159145,-0.3425638,1.353082, Tracked,0.5171486,0.0185068,1.466166, Tracked,0.5640054,-0.1965314,1.430197, Tracked,0.4548551,-0.3149261,1.21765, Inferred,0.4184717,-0.354391,1.15051, 00:00:01.243
Tracked,0.3167613,0.2958938,1.401089, Tracked,0.3507676,0.1080047,1.49184, Tracked,0.1711892,0.03746785,1.54017, Tracked,0.09804815,-0.1604673,1.523255, Tracked,0.04876003,-0.3108816,1.405937, Inferred,0.04222014,-0.3426487,1.352415, Tracked,0.5171376,0.01854525,1.466206, Tracked,0.5640189,-0.1965343,1.4302, Tracked,0.454854,-0.3148306,1.217604, Inferred,0.4184657,-0.3542627,1.150447, 00:00:01.273
Tracked,0.3163118,0.2954018,1.400245, Tracked,0.3509043,0.1078986,1.49187, Tracked,0.1711841,0.03758984,1.540257, Tracked,0.09773529,-0.1605972,1.523332, Tracked,0.04893219,-0.310948,1.405703, Inferred,0.042503,-0.3427406,1.352185, Tracked,0.517145,0.01855519,1.466226, Tracked,0.5640175,-0.1965546,1.430187, Tracked,0.4548166,-0.314777,1.217569, Inferred,0.4184163,-0.3541845,1.150404, 00:00:01.305
